2023-08-22 16:54:19,"a
"
2023-08-22 16:54:22,"06 -2

"
2023-08-22 16:54:23,"06 -2

"
2023-08-22 16:54:23,"06-2
"
2023-08-22 16:54:24,"06

*z
"
2023-08-22 16:54:26,"~06 -2¢
"
2023-08-22 16:54:26,">_>
"
2023-08-22 16:54:29,"06 “2
"
2023-08-22 16:54:31,"~06
"
2023-08-22 16:54:31,"9 8979

"
2023-08-22 16:54:33,"~08 2
"
2023-08-22 16:54:35,"O62,
"
2023-08-22 16:54:37,"‘2
"
2023-08-22 16:54:38,"O¢.
"
2023-08-22 16:54:39,"~06 -2
"
2023-08-22 16:54:40,"| y 6979 TF
"
2023-08-22 16:54:41,"06 - 2,
"
2023-08-22 16:54:44,"4

"
2023-08-22 16:55:23,"a
"
2023-08-22 16:56:10,"a
"
2023-08-22 17:35:44,"a
"
2023-08-22 17:35:51,"06 -2

"
2023-08-22 17:35:53,"06 -2

"
2023-08-22 17:35:56,"06-2
"
2023-08-22 17:35:57,"06

*z
"
2023-08-22 17:36:00,"~06 -2¢
"
2023-08-22 17:36:02,">_>
"
2023-08-22 17:36:06,"06 “2
"
2023-08-22 17:36:08,"~06
"
2023-08-22 17:36:10,"9 8979

"
2023-08-22 17:36:12,"~08 2
"
2023-08-22 17:36:16,"O62,
"
2023-08-22 17:36:19,"‘2
"
2023-08-22 17:36:21,"O¢.
"
2023-08-22 17:42:16,"a
"
2023-08-22 17:42:36,"06 -2

"
2023-08-22 17:42:40,"06 -2

"
2023-08-22 17:42:43,"06-2
"
2023-08-22 17:42:45,"06

*z
"
2023-08-22 17:42:52,"~06 -2¢
"
2023-08-22 17:42:55,">_>
"
2023-08-22 17:43:02,"06 “2
"
2023-08-22 17:43:05,"~06
"
2023-08-22 17:43:08,"9 8979

"
2023-08-22 17:43:12,"~08 2
"
2023-08-22 17:43:19,"O62,
"
2023-08-22 17:43:26,"‘2
"
2023-08-22 17:43:28,"O¢.
"
2023-08-22 17:43:32,"~06 -2
"
